song_id,title,release,artist_name,Genre
211,Andha Dhun,Andha Dhun,Raftaar,Dance
212,Holi Biraj Ma,Genius,Jubin Nautiyal,Dance
213,Kal Ho Naa Ho Title Track,Kal Ho Naa Ho,Sonu Nigam,Sad
214,Enna Sona,Ok Jaanu,"A.R. Rahman, Arijit Singh",Romantic
215,Little Little,Yamla Pagla Deewana Phir Se,Harrdy Sandhu,Dance
216,Maa Sherawaliye,Khiladiyon Ka Khiladi,Sonu Nigam,Bollywood
217,Disco Disco,A Gentleman,"Benny Dayal, Shirley Setia",Dance
218,Lambiyaan Si Judaiyaan,Raabta,"Altamash Faridi, Arijit Singh, Shadaab Faridi",Sad
219,Aahista,Laila Majnu,"Arijit Singh, Jonita Gandhi",Romantic
220,Naam Hai Bhaiaji,Bhaiaji Superhit,"Amit Mishra, Raftaar",Bollywood
221,Kisi Se Tum Pyaar Karo,Andaaz,"Alka Yagnik, Kumar Sanu",Romantic
222,Naam Hai Bhaiaji,Bhaiaji Superhit,"Amit Mishra, Raftaar",Bollywood
223,Baba Bolta Hain Bas Ho Gaya,Sanju,"Papon, Ranbir Kapoor, Supriya Pathak",Bollywood
224,Sultan Title Song,Sultan,"Shadaab Faridi, Sukhwinder Singh",Motivational
225,Radio,Tubelight,"Amit Mishra, Kamaal khan",Dance
226,Sab Badhiya Hai,Sui Dhaaga,Sukhwinder Singh,Dance
227,Chin Chin Chu,Happy Phirr Bhaag Jayegi,"Jassi Gill, Sonakshi Sinha",Dance
228,Beat Pe Booty,A Flying Jatt,"Jigar Saraiya, Kanika Kapoor, Sachin Sanghvi, Vayu",Dance
229,Jag Ghoomeya,Sultan,Rahat Fateh Ali Khan,Romantic
230,Jogi,Shaadi Mein Zaroor Aana,"Aakanksha Sharma, Yasser Desai",Romantic
231,Lets Nacho,Kapoor & Sons,"Badshah, Benny Dayal",Dance
232,Tu Tu Hai Wahi,Yeh Vaada Raha,"Asha Bhosle, Kishore Kumar",Romantic
233,Yeh Vaada Raha,Yeh Vaada Raha,"Asha Bhosle, Kishore Kumar",Dance
234,Vande Mataram,ABCD 2,"Badshah, Daler Mehndi, Divya Kumar, Tanishka Sanghvi",Dance
235,Jeene Laga Hoon,Ramaiya Vastavaiya,Atif Aslam,Romantic
236,Nit Khair Manga,Raid,Rahat Fateh Ali Khan,Romantic
237,Jitni Dafa,Parmanu The Story of Pokhran,"Jeet Gannguli, Yasser Desai",Romantic
238,Wajah Tum Ho,Hate Story 3,Armaan Malik,RomanticSensual
